line,name,code,lat,lng,행정동
01호선,도봉산,1903,37.689313,127.046222,도봉2동
01호선,망월사,1904,37.709914,127.047455,호원1동
01호선,회룡,1905,37.724846,127.046895,호원2동
01호선,의정부,1906,37.738415,127.045958,의정부동
01호선,가능,1907,37.748577,127.044213,의정부동
01호선,양주,1909,37.774381,127.044708,남방동
01호선,덕계,1910,37.818486,127.056486,회천신도시
01호선,덕정,1911,37.843188,127.061277,덕정동
01호선,지행,1912,37.892334,127.055716,지행동
01호선,동두천중앙,1913,37.901885,127.056482,생연동
01호선,동두천,1915,37.927878,127.05479,동두천동
01호선,보산,1914,37.913702,127.057277,보산동
01호선,종로3가,153,37.571607,126.991806,동선동
01호선,종로5가,154,37.570926,127.001849,종로5·6가동
01호선,동대문,155,37.57142,127.009745,종로5·6가동
01호선,신설동,156,37.575297,127.025087,용신동
01호선,제기동,157,37.578103,127.034893,용신동
01호선,청량리,158,37.580178,127.046835,전농1동
01호선,동묘앞,159,37.572627,127.016429,숭인2동
01호선,소요산,1916,37.9481,127.061034,상봉암동
01호선,지제,1723,37.0188,127.070444,지제동
01호선,서울,150,37.554648,126.972559,남영동
01호선,시청,151,37.564718,126.977108,명동
01호선,종각,152,37.570161,126.982923,동선동
02호선,강변,214,37.535095,127.094681,구의3동
02호선,잠실나루,215,37.520733,127.10379,행정동
02호선,잠실,216,37.51395,127.102234,잠실6동
02호선,잠실새내,217,37.511687,127.086162,잠실2동
02호선,종합운동장,218,37.510997,127.073642,잠실7동
02호선,삼성,219,37.508844,127.06316,대치2동
02호선,선릉,220,37.504503,127.049008,삼성2동
02호선,역삼,221,37.500622,127.036456,역삼1동
02호선,강남,222,37.497175,127.027926,역삼1동
02호선,교대,223,37.493415,127.01408,서초3동
02호선,방배,225,37.481426,126.997596,방배3동
02호선,사당,226,37.47653,126.981685,방배2동
02호선,낙성대,227,37.47693,126.963693,인헌동
02호선,서울대입구,228,37.481247,126.952739,행운동
02호선,봉천,229,37.482362,126.941892,청룡동
02호선,신림,230,37.484201,126.929715,서원동
02호선,신대방,231,37.487462,126.913149,조원동
02호선,구로디지털단지,232,37.485266,126.901401,구로3동
02호선,신도림,234,37.508725,126.891295,신도림동
02호선,문래,235,37.517933,126.89476,문래동
02호선,영등포구청,236,37.52497,126.895951,당산1동
02호선,용답,244,37.561904,127.050899,송정동
02호선,신정네거리,249,37.520074,126.852912,신정3동
02호선,을지로입구,202,37.566014,126.982618,명동
02호선,을지로3가,203,37.566295,126.99191,을지로동
02호선,을지로4가,204,37.566941,126.998079,을지로동
02호선,동대문역사문화공원,205,37.565138,127.007896,광희동
02호선,신당,206,37.565972,127.01782,신당동
02호선,한양대,209,37.555273,127.043655,사근동
02호선,뚝섬,210,37.547184,127.047367,성수1가2동
02호선,성수,211,37.544581,127.055961,성수2가3동
02호선,건대입구,212,37.540693,127.07023,화양동
02호선,구의,213,37.537077,127.085916,자양2동
02호선,당산,237,37.53438,126.902281,당산2동
02호선,합정,238,37.549463,126.913739,합정동
02호선,홍대입구,239,37.557192,126.925381,서교동
02호선,신촌,240,37.555134,126.936893,신촌동
02호선,이대,241,37.556733,126.946013,아현동
02호선,아현,242,37.557345,126.956141,아현동
02호선,충정로,243,37.559973,126.963672,충현동
02호선,신답,245,37.57004,127.046481,용답동
02호선,까치산,200,37.531768,126.846683,화곡1동
02호선,시청,201,37.564718,126.977108,명동
02호선,서초,224,37.491897,127.007917,서초3동
02호선,왕십리,208,37.561533,127.037732,행당1동
02호선,상왕십리,207,37.564354,127.029354,왕십리2동
02호선,대림,233,37.49297,126.895801,대림3동
02호선,신설동,246,37.575297,127.025087,용신동
02호선,도림천,247,37.514287,126.882768,신도림동
02호선,양천구청,248,37.512398,126.865819,신정7동
02호선,용두,250,37.574028,127.038091,용신동
03호선,양재,332,37.484147,127.034631,양재1동
03호선,매봉,333,37.486947,127.046769,도곡1동
03호선,도곡,334,37.490858,127.055381,대치1동
03호선,대치,335,37.494612,127.063642,대치2동
03호선,학여울,336,37.496663,127.070594,대치2동
03호선,대청,337,37.493514,127.079532,일원1동
03호선,일원,338,37.483681,127.08439,일원본동
03호선,수서,339,37.487371,127.10188,수서동
03호선,동대입구,322,37.559052,127.005602,장충동
03호선,금호,324,37.548034,127.015872,금호4가동
03호선,옥수,325,37.540685,127.017965,옥수동
03호선,압구정,326,37.527072,127.028461,신사동
03호선,신사,327,37.516334,127.020114,논현1동
03호선,잠원,328,37.512759,127.01122,잠원동
03호선,고속터미널,329,37.50481,127.004943,반포4동
03호선,교대,330,37.493415,127.01408,서초3동
03호선,남부터미널,331,37.485013,127.016189,서초3동
03호선,경복궁,317,37.575762,126.97353,사직동
03호선,안국,318,37.576477,126.985443,동선동
03호선,종로3가,319,37.571607,126.991806,동선동
03호선,을지로3가,320,37.566295,126.99191,을지로동
03호선,지축,309,37.648048,126.913951,효자동
03호선,구파발,310,37.636763,126.918821,진관동
03호선,연신내,311,37.619001,126.921008,불광2동
03호선,불광,312,37.610469,126.929887,불광1동
03호선,녹번,313,37.600927,126.935756,녹번동
03호선,홍제,314,37.589066,126.943736,홍제3동
03호선,무악재,315,37.582299,126.950291,홍제1동
03호선,독립문,316,37.574571,126.957748,영천동
03호선,가락시장,340,37.492522,127.118234,가락1동
03호선,경찰병원,341,37.495918,127.12454,가락본동
03호선,오금,342,37.502162,127.128111,가락본동
03호선,원당,1951,37.653324,126.843041,성사1동
03호선,대곡,1953,37.631626,126.811024,능곡동
03호선,백석,1954,37.643114,126.78787,백석2동
03호선,마두,1955,37.652206,126.77762,장항2동
03호선,정발산,1956,37.659477,126.773359,장항2동
03호선,주엽,1957,37.670072,126.761334,주엽2동
03호선,대화,1958,37.676087,126.747569,대화동
03호선,원흥,1948,37.650658,126.872642,삼송2동
03호선,삼송,1950,37.653083,126.895558,삼송1동
03호선,약수,323,37.55434,127.010655,약수동
